,topic,density,type,count
0,8,0.07599350162459385,All users,
1,0,0.05631092226943264,All users,
2,24,0.03726568357910522,All users,
3,16,0.029005248687828042,All users,
4,23,0.03315421144713822,All users,
5,7,0.10544863784053987,All users,
6,15,0.018882779305173708,All users,
7,6,0.01752061984503874,All users,
8,14,0.022944263934016496,All users,
9,22,0.04001499625093727,All users,
10,5,0.03430392401899525,All users,
11,21,0.029005248687828042,All users,
12,13,0.013196700824793801,All users,
13,4,0.1706573356660835,All users,
14,20,0.013846538365408648,All users,
15,12,0.012009497625593602,All users,
16,19,0.021444638840289926,All users,
17,11,0.01184703824043989,All users,
18,3,0.016895776055986002,All users,
19,18,0.03994001499625094,All users,
20,2,0.0713696575856036,All users,
21,10,0.025281179705073733,All users,
22,1,0.0711197200699825,All users,
23,9,0.019832541864533867,All users,
24,17,0.012709322669332666,All users,
0,24,0.03604872793569239,Most active users,435.0
1,16,0.04483301566255076,Most active users,541.0
2,8,0.09546697605038534,Most active users,1152.0
3,0,0.06231872047733488,Most active users,752.0
4,15,0.02726444020883401,Most active users,329.0
5,7,0.08494240490594182,Most active users,1025.0
6,23,0.031739454711195825,Most active users,383.0
7,22,0.032899643656252586,Most active users,397.0
8,14,0.026932957653103506,Most active users,325.0
9,6,0.021132012927819674,Most active users,255.0
10,21,0.042429767133504596,Most active users,512.0
11,5,0.03696030496395127,Most active users,446.0
12,13,0.016408386508659983,Most active users,198.0
13,12,0.014750973730007458,Most active users,178.0
14,4,0.10880914891853816,Most active users,1313.0
15,20,0.016159774591862103,Most active users,195.0
16,3,0.021712107400348058,Most active users,262.0
17,19,0.021214883566752298,Most active users,256.0
18,11,0.012679207756691804,Most active users,153.0
19,18,0.04325847352283086,Most active users,522.0
20,10,0.029087594265351787,Most active users,351.0
21,2,0.08875445429684263,Most active users,1071.0
22,9,0.024861191679787852,Most active users,300.0
23,17,0.014750973730007458,Most active users,178.0
24,1,0.04458440374575288,Most active users,538.0
0,8,0.10059755953358634,Weighted by connectedness,15.089925499614044
1,24,0.03640081516668143,Weighted by connectedness,5.460227778259916
2,0,0.058551341943602446,Weighted by connectedness,8.782870995358524
3,16,0.04239892439827853,Weighted by connectedness,6.359961547776747
4,7,0.07656839363843695,Weighted by connectedness,11.4854809697782
5,23,0.033077486887391185,Weighted by connectedness,4.961718904110665
6,15,0.03155868785986781,Weighted by connectedness,4.733894647931148
7,6,0.022558317432340616,Weighted by connectedness,3.383812997342294
8,22,0.031141136577476993,Weighted by connectedness,4.671260745351811
9,14,0.027145390361891564,Weighted by connectedness,4.071887231838114
10,13,0.018435637459662993,Weighted by connectedness,2.7653990523629832
11,21,0.04276566443815007,Weighted by connectedness,6.414973616708094
12,5,0.035921820861173195,Weighted by connectedness,5.388377244127967
13,12,0.014144557477326606,Weighted by connectedness,2.1217246178482716
14,20,0.01698090843761138,Weighted by connectedness,2.5471854827032123
15,4,0.1181317109940007,Weighted by connectedness,17.720099039244133
16,19,0.021810262698905746,Weighted by connectedness,3.2716026191829997
17,3,0.019985891018631668,Weighted by connectedness,2.997941579426362
18,11,0.01251042250356575,Weighted by connectedness,1.8765996354461667
19,2,0.09018913763619571,Weighted by connectedness,13.528632047482752
20,10,0.027391888536482667,Weighted by connectedness,4.108862672471232
21,18,0.03818103460656258,Weighted by connectedness,5.72726585398781
22,9,0.024931009171993684,Weighted by connectedness,3.739723635243611
23,17,0.01608021141382952,Weighted by connectedness,2.412078318577082
24,1,0.042541788946353784,Weighted by connectedness,6.381391644063246
